,,location,표준공시지가,토지거래현황,주택거래현황,date,gdp,연평균임금,소비자물가(식료품),소비자물가(주거비),대미환률,코스피(한국주가),니케이(일본주가),다우존스(미국주가),상하이(중국주가),FTSE(영국주가),FTSE_EURO(유로),DAX(독일주가),원유(두바이),원유(Brent),원유(WTI),주택자금대출규모,한은기준금리,"소비자물가:에너지(연료,전기,가솔린)"
서울특별시,종로구,청운동,2423 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,신교동,2112 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,궁정동,2797 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,효자동,2389 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,창성동,2859 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,통의동,2618 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,적선동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,통인동,2622 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,누상동," 2,502 ",3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,누하동,2987 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,옥인동,2656 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,체부동,3034 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,필운동,3058 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,내자동,4460 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,사직동,2878 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,도렴동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,당주동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,내수동,10400 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,세종로,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,신문로1가,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,신문로2가,3659 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,청진동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,서린동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,수송동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,중학동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,종로1가,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,공평동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,관훈동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,견지동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,와룡동," 2,408 ",3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,권농동,2215 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,운니동,2645 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,익선동,3372 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,경운동,3070 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,관철동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
