,location,location_detail,price
서울특별시,종로구,청운동,2423
서울특별시,종로구,신교동,2112
서울특별시,종로구,궁정동,2797
서울특별시,종로구,효자동,2389
서울특별시,종로구,창성동,2859
서울특별시,종로구,통의동,2618
서울특별시,종로구,적선동,0
서울특별시,종로구,통인동,2622
서울특별시,종로구,누상동,2502
서울특별시,종로구,누하동,2987
서울특별시,종로구,옥인동,2656
서울특별시,종로구,체부동,3034
서울특별시,종로구,필운동,3058
서울특별시,종로구,내자동,4460
서울특별시,종로구,사직동,2878
서울특별시,종로구,도렴동,0
서울특별시,종로구,당주동,0
서울특별시,종로구,내수동,10400
서울특별시,종로구,세종로,0
서울특별시,종로구,신문로1가,0
서울특별시,종로구,신문로2가,3659
서울특별시,종로구,청진동,0
서울특별시,종로구,서린동,0
서울특별시,종로구,수송동,0
서울특별시,종로구,중학동,0
서울특별시,종로구,종로1가,0
서울특별시,종로구,공평동,0
서울특별시,종로구,관훈동,0
서울특별시,종로구,견지동,0
서울특별시,종로구,와룡동,2408
서울특별시,종로구,권농동,2215
서울특별시,종로구,운니동,2645
서울특별시,종로구,익선동,3372
서울특별시,종로구,경운동,3070
서울특별시,종로구,관철동,0
서울특별시,종로구,인사동,0
서울특별시,종로구,낙원동,3000
서울특별시,종로구,종로2가,0
서울특별시,종로구,팔판동,3647
서울특별시,종로구,삼청동,3031
서울특별시,종로구,안국동,4006
서울특별시,종로구,소격동,3763
서울특별시,종로구,화동,3313
서울특별시,종로구,사간동,3137
서울특별시,종로구,송현동,0
서울특별시,종로구,가회동,3288
서울특별시,종로구,재동,3893
서울특별시,종로구,계동,2885
서울특별시,종로구,원서동,2673
서울특별시,종로구,묘동,0
서울특별시,종로구,봉익동,2600
서울특별시,종로구,돈의동,3307
서울특별시,종로구,장사동,0
서울특별시,종로구,관수동,0
서울특별시,종로구,종로3가,0
서울특별시,종로구,인의동,2240
서울특별시,종로구,예지동,0
서울특별시,종로구,원남동,2159
서울특별시,종로구,연지동,2233
서울특별시,종로구,종로4가,0
서울특별시,종로구,효제동,2720
서울특별시,종로구,종로5가,4570
서울특별시,종로구,종로6가,2809
서울특별시,종로구,이화동,2264
서울특별시,종로구,연건동,2408
서울특별시,종로구,충신동,2376
서울특별시,종로구,동숭동,2488
서울특별시,종로구,혜화동,2336
서울특별시,종로구,명륜1가,2288
서울특별시,종로구,명륜2가,2474
서울특별시,종로구,명륜4가,3037
서울특별시,종로구,명륜3가,1814
서울특별시,종로구,창신동,2330
서울특별시,종로구,숭인동,2417
서울특별시,종로구,교남동,4690
서울특별시,종로구,평동,3862
서울특별시,종로구,송월동,3753
서울특별시,종로구,홍파동,3363
서울특별시,종로구,교북동,3970
서울특별시,종로구,행촌동,2118
서울특별시,종로구,구기동,1549
서울특별시,종로구,평창동,1808
서울특별시,종로구,부암동,1391
서울특별시,종로구,홍지동,1465
서울특별시,종로구,신영동,1598
서울특별시,종로구,무악동,2806
서울특별시,중구,무교동,0
서울특별시,중구,다동,0
서울특별시,중구,태평로1가,0
서울특별시,중구,을지로1가,0
서울특별시,중구,을지로2가,0
서울특별시,중구,남대문로1가,0
서울특별시,중구,삼각동,0
서울특별시,중구,수하동,0
서울특별시,중구,장교동,0
서울특별시,중구,수표동,0
서울특별시,중구,소공동,0
서울특별시,중구,남창동,1924
서울특별시,중구,북창동,0
서울특별시,중구,태평로2가,0
서울특별시,중구,남대문로2가,0
서울특별시,중구,남대문로3가,0
서울특별시,중구,남대문로4가,0
서울특별시,중구,남대문로5가,0
서울특별시,중구,봉래동1가,0
서울특별시,중구,회현동1가,2181
서울특별시,중구,회현동2가,1973
서울특별시,중구,회현동3가,2130
서울특별시,중구,충무로1가,0
서울특별시,중구,충무로2가,0
서울특별시,중구,명동1가,0
서울특별시,중구,명동2가,0
서울특별시,중구,남산동1가,2245
서울특별시,중구,남산동2가,1767
서울특별시,중구,남산동3가,1840
서울특별시,중구,저동1가,0
서울특별시,중구,충무로4가,0
서울특별시,중구,충무로5가,0
서울특별시,중구,인현동2가,0
서울특별시,중구,예관동,0
서울특별시,중구,묵정동,2910
서울특별시,중구,필동1가,3305
서울특별시,중구,필동2가,2981
서울특별시,중구,필동3가,2809
서울특별시,중구,남학동,0
서울특별시,중구,주자동,0
서울특별시,중구,예장동,2412
서울특별시,중구,장충동1가,2703
서울특별시,중구,장충동2가,2535
서울특별시,중구,광희동1가,0
서울특별시,중구,광희동2가,2471
서울특별시,중구,쌍림동,2175
서울특별시,중구,을지로6가,0
서울특별시,중구,을지로7가,3303
서울특별시,중구,을지로4가,0
서울특별시,중구,을지로5가,0
서울특별시,중구,주교동,0
서울특별시,중구,방산동,0
서울특별시,중구,오장동,0
서울특별시,중구,을지로3가,0
서울특별시,중구,입정동,0
서울특별시,중구,산림동,0
서울특별시,중구,충무로3가,0
서울특별시,중구,초동,0
서울특별시,중구,인현동1가,0
서울특별시,중구,저동2가,0
서울특별시,중구,신당동,2311
서울특별시,중구,흥인동,3350
서울특별시,중구,무학동,4220
서울특별시,중구,황학동,3114
서울특별시,중구,서소문동,0
서울특별시,중구,정동,0
서울특별시,중구,순화동,0
서울특별시,중구,의주로1가,0
서울특별시,중구,충정로1가,0
서울특별시,중구,중림동,2399
서울특별시,중구,의주로2가,0
서울특별시,중구,만리동1가,2626
서울특별시,중구,만리동2가,2386
서울특별시,용산구,후암동,2418
서울특별시,용산구,용산동2가,2342
서울특별시,용산구,갈월동,2822
서울특별시,용산구,남영동,3050
서울특별시,용산구,동자동,3341
서울특별시,용산구,서계동,2557
서울특별시,용산구,청파동1가,2370
서울특별시,용산구,청파동2가,2740
서울특별시,용산구,청파동3가,2589
서울특별시,용산구,원효로1가,2903
서울특별시,용산구,원효로2가,2493
서울특별시,용산구,신창동,2532
서울특별시,용산구,산천동,3012
서울특별시,용산구,청암동,2600
서울특별시,용산구,원효로3가,2846
서울특별시,용산구,원효로4가,2714
서울특별시,용산구,효창동,2708
서울특별시,용산구,도원동,3990
서울특별시,용산구,용문동,2737
서울특별시,용산구,문배동,0
서울특별시,용산구,신계동,3920
서울특별시,용산구,한강로1가,5064
서울특별시,용산구,한강로2가,5685
서울특별시,용산구,용산동3가,4063
서울특별시,용산구,용산동5가,0
서울특별시,용산구,한강로3가,5948
서울특별시,용산구,이촌동,10405
서울특별시,용산구,이태원동,3008
서울특별시,용산구,한남동,3533
서울특별시,용산구,동빙고동,4206
서울특별시,용산구,서빙고동,3260
서울특별시,용산구,주성동,4263
서울특별시,용산구,용산동6가,0
서울특별시,용산구,보광동,4223
서울특별시,성동구,상왕십리동,3251
서울특별시,성동구,하왕십리동,2974
서울특별시,성동구,홍익동,3429
