지역,2010년 동(호)수,2010년 면적,2011년 동(호)수,2011년 면적,2012년 동(호)수,2012년 면적,2013년 동(호)수,2013년 면적,2014년 동(호)수,2014년 면적,2015년 동(호)수,2015년 면적,2016년 동(호)수,2016년 면적
전국,1037229,91171,1231393,105217,1004006,85542,1187279,98330,1447123,123434,1720795,144963,455486,37050
서울,115227,9466,141596,11478,112094,8622,150768,11243,201991,15739,280313,23246,71232,5467
종로구,1823,157,2129,173,1785,157,2394,180,2586,203,3503,292,851,72
중구,2317,235,1903,174,2288,204,1745,143,2595,176,3721,1193,916,74
용산구,3005,272,2921,264,1994,194,2939,258,4702,443,5702,511,1257,111
성동구,2758,229,3637,297,2764,217,4125,334,6607,550,10241,831,1990,164
광진구,3137,291,3896,369,3400,299,3462,314,5291,491,7971,768,2037,165
동대문구,3371,273,4831,422,3757,297,5272,429,8257,675,10804,839,2535,209
중랑구,3700,320,5105,548,4417,338,5864,412,9157,749,11498,918,2858,245
성북구,6060,494,7199,581,4979,413,6954,533,8848,680,13242,1071,2840,235
강북구,3726,272,4794,352,3913,275,5345,379,6338,433,8810,819,2056,146
도봉구,3736,257,5782,403,4908,332,6213,432,7151,492,9917,696,2303,158
노원구,6074,434,7808,503,5947,378,8621,542,11476,815,15409,1014,4204,292
은평구,12182,1003,10768,789,7438,486,8667,593,11540,793,17741,1221,5056,324
서대문구,4197,350,4639,444,3907,312,4949,365,6843,513,10719,849,3175,254
마포구,4837,359,6348,500,4217,329,6197,485,8167,627,13221,1177,4142,350
양천구,5822,447,7218,548,5363,379,6256,441,7785,568,12821,953,3121,217
강서구,6950,497,9353,656,7262,469,10685,727,15342,1187,22593,1522,5128,340
구로구,4143,316,7653,568,4738,306,6571,436,9287,659,11173,814,2645,184
금천구,1567,138,2491,225,2676,197,3803,289,5148,373,7058,521,1738,132
영등포구,3704,324,4377,361,3845,240,4847,320,6533,495,9526,776,3000,254
동작구,4558,389,5814,512,5394,440,7195,649,7246,565,11370,942,3047,230
관악구,4250,358,5286,462,4521,552,5667,434,7706,609,11200,933,2795,221
서초구,5594,552,5570,509,4793,427,7179,666,11217,1021,10938,1041,2737,262
강남구,6165,551,7132,616,6175,516,7687,652,12888,1133,13120,1279,3010,249
송파구,6557,537,8167,648,6588,490,12158,805,11455,889,15259,1215,4773,359
강동구,4994,410,6775,554,5025,376,5973,427,7826,599,12756,1052,3018,222
부산,101009,8517,113663,9654,85931,6928,107036,8377,128800,10182,158998,12322,38041,2919
중구,843,52,1158,72,1106,65,1499,76,1200,96,1319,76,445,25
서구,2077,165,2305,171,2457,192,2517,186,3730,290,4543,345,1108,82
동구,1801,147,2172,181,1332,113,1566,125,2337,165,2821,215,751,54
영도구,2255,162,2564,192,1742,132,2241,168,2354,164,3611,264,875,58
부산진구,10883,904,14430,1198,9843,634,10944,704,13762,941,17042,1164,3857,263
동래구,7532,639,10336,912,6011,482,7907,658,10539,873,13879,1159,3720,312
남구,8803,735,9142,717,6313,477,11157,896,10775,874,15017,1093,2769,210
북구,8883,659,9321,752,10321,922,8688,714,10827,858,14699,1139,3743,295
해운대구,13437,1103,15735,1410,10764,1007,10478,830,13651,1143,18461,1592,3624,309
